 t_index                      term   df
       0                       aan    1
       1                     aaron    2
       2                     aback    1
       3                     abahd    1
       4                   abandon   37
       5                      abat    1
       6                       abc   49
       7                    abccom    1
       8                abcnewscom    3
       9                  abdallah    2
      10                     abdel    3
      11                   abdomin    2
      12                    abduct    2
      13                     abdul    5
      14                abdulkarim   11
      15                  abdullah   40
      16                abdurahman    1
      17                     aberr    1
      18                     abhad    1
      19                   abhiyan    1
      20                    abhorr    2
      21                      abid    7
      22                   abidjan   36
      23                    abijan    1
      24                      abil   32
      25                       abl  105
      26                     ablaz    3
      27                    abnorm    1
      28                    aboard   93
      29                     abobo    3
      30                   abolish    4
      31                    abomin    1
      32                     abort    7
      33                      abou    1
      34                    abound    4
      35                     abovo    1
      36                   abraham   10
      37                   abreast    1
      38                    abrego    1
      39                    abroad   52
      40                     abrog    2
      41                    abrupt    1
      42                  abruptli    4
      43                    abscam    1
      44                    absenc    6
      45                    absent    4
      46                   absente    7
      47                  absentia    3
      48                   absolut   43
      49                    absorb    9
      50                   abstain    1
      51                   abstent    1
      52                    absurd    2
      53                       abu    7
      54                     abund    2
      55                      abus   28
      56                abuseofpow    1
      57                abuzaakouk    1
      58                     abyan    1
      59                abyssinian    1
      60                    academ    6
      61                   academi    4
      62                  academia    1
      63                     acced    1
      64                   acceler    4
      65                    accent    2
      66                   accentu    2
      67                    accept  124
      68                    access   41
      69                     accid   32
      70                  accident    3
      71                  accommod   11
      72                 accompani   33
      73                 accomplic    5
      74                accomplish   10
      75                    accord  145
      76               accordingli    1
      77                 accordion    1
      78                   account  125
      79                  accredit    1
      80                   accumul    2
      81                     accur   14
      82                  accuraci    1
      83                     accus  131
      84                  accustom    2
      85                       ace   27
      86                     acerb    2
      87                    achiev   31
      88                      acid    2
      89                acknowledg   55
      90                    acolyt    1
      91                    acosta    1
      92                  acquaint    1
      93                  acquiesc    1
      94                    acquir    5
      95                  acquisit    1
      96                    acquit    5
      97                   acquitt    3
      98                  acrimoni    2
      99                   acrobat    5
     100                   acronym    1
     101                    across  119
     102            acrosstheboard    1
     103                       act  135
     104                    action   94
     105                   actionc    1
     106                     activ   89
     107                  activist   19
     108                     actor    4
     109                   actress    2
     110                    actual   66
     111                        ad  117
     112                      adam    8
     113                     adapt    5
     114                       add   18
     115                    addali    1
     116                     adden    1
     117                     addit   74
     118                   address   64
     119                      adem    1
     120                      aden  169
